84 dev Id: d09e2cd5066e4d657bf49978aacea36e | Hex Buffer: 4c0010056a1ccfa2f4 | Primer Entero: 84934732 
80 dev Id: 03797e04b2a6bee72fb6e0467a0e9e38 | Hex Buffer: 4c00090813220a6d44281b58160800b231b97066abcb | Primer Entero: 134807628 
85 dev Id: 30fd7f64b9bbaad8fd3d7b2d5b1d242b | Hex Buffer: 4c0012020003 | Primer Entero: 34734156 
86 dev Id: 63d3add323520b27de17cfa87430b155 | Hex Buffer: 4c001608003ccc8a67f273e4 | Primer Entero: 135659596 
88 dev Id: 06872be612088ced9a4285369d1d5338 | Hex Buffer: 4c001006331eb140e24c | Primer Entero: 101711948 
82 dev Id: 38fa80550d9f8c9f728ab57c37ae8fd2 | Hex Buffer: undefined | Primer Entero: undefined 
79 dev Id: fc0157db25cc42b134aed1cd8c0d8da5 | Hex Buffer: 4c0012020000 | Primer Entero: 34734156 
90 dev Id: 1153082ad4577fe93ef21b195e1dea71 | Hex Buffer: 4c0010051e1c90ca07 | Primer Entero: 84934732 
91 dev Id: 016f580831f7e24979a4405c7b9c88b0 | Hex Buffer: 4c00121910ff5f4c5925bb2af101c1ccf668dee7bba0ab62c1740a030e | Primer Entero: 420610124 
89 dev Id: e1e6bc3b5dd1821855337d6a2696c970 | Hex Buffer: 060001092022dd579bbd7d7b20f406d8cd21556d2d68e480376d4b71b2 | Primer Entero: 151060486 
92 dev Id: 07ac494da794f78e1322857c049b107a | Hex Buffer: 4c0010064a1d90b35568 | Primer Entero: 101711948 
93 dev Id: e9cb72522c8284b4598dd351599b9101 | Hex Buffer: 4c0010050a18e7f74c | Primer Entero: 84934732 
87 dev Id: 5209fa882a8447a085c25151796e2ff3 | Hex Buffer: 4c0016080010be27fc8da75e | Primer Entero: 135659596 
94 dev Id: cba7edaef2e4f8484b60970eba3675ca | Hex Buffer: 4c001006441dc386c148 | Primer Entero: 101711948 
95 dev Id: 16ab92090dcc39aab660bca16c62f374 | Hex Buffer: 06000109202263f0779eb9079a9004e5a47ab1ea99a7cc70b094fbab99 | Primer Entero: 151060486 
96 dev Id: cda09f811e60b06e7867341d394b83a5 | Hex Buffer: 4c000908130c0a6d44cc1b58160800e3d5bfbb9edee9 | Primer Entero: 134807628 
99 dev Id: 5d8c45cefa50ee76d40fe5529cbf84d7 | Hex Buffer: 4c00150501263c793b | Primer Entero: 85262412 
97 dev Id: f09b3993b698a8d82aac4ff7cead9e77 | Hex Buffer: 4c00090813020a6d45091b581608005ea541514b7ca7 | Primer Entero: 134807628 
101 dev Id: 9c8c6a617a33eb4c0af9a31598cec80f | Hex Buffer: 4c00160800fdd2361ad3b0d6 | Primer Entero: 135659596 
100 dev Id: ad47dbf265c7eda405f524480c6f8c35 | Hex Buffer: 060001092022ac20093b14af2bb990acb8c18992effd6638113e1dfc51 | Primer Entero: 151060486 
104 dev Id: 8690f0617077f7c366edfed4c317f657 | Hex Buffer: 0600010f2022306f18bdd3dfedcf584371742f43932b00e59e49bb686e | Primer Entero: 251723782 
105 dev Id: 5b200c119b0be236c3ed2adc8ee0de35 | Hex Buffer: 4c0016080041476ea3c8d0ee | Primer Entero: 135659596 
102 dev Id: 3d0bda9a0ac9abeac9d6e947aa4b11b5 | Hex Buffer: 4c0012020001 | Primer Entero: 34734156 
103 dev Id: 7b3e6d48410d6a5c7703e460db49bed1 | Hex Buffer: 4c0016080014f885cd8ee95d | Primer Entero: 135659596 
106 dev Id: 4204f6ed6c216a7f46ff4287caf30342 | Hex Buffer: 060001092022128078d8772bb4b6bfd4dccdddf617e04e8563ee9c2cb9 | Primer Entero: 151060486 
98 dev Id: 8c37598b961201128c0bdfbca349c9b8 | Hex Buffer: 4c000c0e08aa50f2659948bb321686c998c410064b19f4955608 | Primer Entero: 235667532 
107 dev Id: 3c949f068f5d6b91972e3f16f2a4b2f5 | Hex Buffer: 060001092022799bcf02b6b1d0377a33cbd3f740cb112bd7b3278148dd | Primer Entero: 151060486 
110 dev Id: 361bfd0382cc0786907fefb3208ea5b1 | Hex Buffer: 4c0010062b1ec078e8ec | Primer Entero: 101711948 
111 dev Id: 60096b30e7490c0e94ef892cee8e91a4 | Hex Buffer: 4c00160800e175bba34cf960 | Primer Entero: 135659596 
112 dev Id: 9dd63efe40b3a1ce28111958597465a1 | Hex Buffer: 4c00160800f0f66a5e50a511 | Primer Entero: 135659596 
109 dev Id: a09b6c87ed1a092e2b189672648b9083 | Hex Buffer: 4c001608000e0c68dae19a7f | Primer Entero: 135659596 
108 dev Id: 229b2426ad7b64fd8cf1672c8d3920b3 | Hex Buffer: 0600010f20227c20f72dc2c9691b48e1c3b0310a2f0b952f7dbc81c72c | Primer Entero: 251723782 
113 dev Id: eef00f36e99852d83bb442354b0f02b6 | Hex Buffer: 4c0010064a1d90b35568 | Primer Entero: 101711948 
114 dev Id: a93f6f837183602f16900c25fea4e764 | Hex Buffer: 4c00090813060a6d44ae1b581608002bc913c1debb61 | Primer Entero: 134807628 
116 dev Id: fc093f72a9097bb973c7370ec42b55a1 | Hex Buffer: 0600010f20229f8fdecbd14c65ea323142ee11c3962822a004ebeb87c4 | Primer Entero: 251723782 
117 dev Id: d79da2fb9f06ced1018e668ce52cafca | Hex Buffer: 0600010920225d358b0f0be0dcd01399ce311fbc78661dab67abeb58ff | Primer Entero: 151060486 
115 dev Id: bf18263ce6412ef72f2d4c4d2f2efc47 | Hex Buffer: 4c001608008865f6e13beff8 | Primer Entero: 135659596 
118 dev Id: fc7c49ea17cec76ab52fcec06b132d0f | Hex Buffer: 06000109202294d981b643c6ed96dd60f4e3b94124a124d4bbec290931 | Primer Entero: 151060486 
119 dev Id: 9a3c866c7980e6b53c75427e5bd80149 | Hex Buffer: 4c00160800647e9b230e03de | Primer Entero: 135659596 
120 dev Id: 070c171e0176d497f07ea28f4369fee0 | Hex Buffer: 4c00090813150a6d446b1b58160800f00e0071284f2b | Primer Entero: 134807628 
121 dev Id: 9608c9cf989e20560c0cc9df5c156ed6 | Hex Buffer: 4c001005411c10fbb1 | Primer Entero: 84934732 
122 dev Id: 59c0b0ada72b0739e56afd5e04d58ab4 | Hex Buffer: 4c0012020003 | Primer Entero: 34734156 
123 dev Id: 5d1b740e46367b457ae0abbc272a3ab1 | Hex Buffer: 7500021861b1c5d34a0faee8dc059c1e181ce64a1df2edf7936d | Primer Entero: 402784373 
126 dev Id: 77d717db9f9644a68eb3f12ffa0444b9 | Hex Buffer: undefined | Primer Entero: undefined 
125 dev Id: 0d1569d90fc88d73718a7527618b054c | Hex Buffer: 4c00090813060a6d44de1b58160800361fa406ad6dd3 | Primer Entero: 134807628 
127 dev Id: 77d717db9f9644a68eb3f12ffa0444b9 | Hex Buffer: undefined | Primer Entero: undefined 
124 dev Id: 8634b8f432e1c613e2ea46ac0e2b0f4f | Hex Buffer: 4c00160800f427c0a5ee13f9 | Primer Entero: 135659596 
128 dev Id: 40bbd62c3ba138a8dc26f70502f824de | Hex Buffer: 4c001005491ce3b93c | Primer Entero: 84934732 
129 dev Id: e0bffeb6b08ccae48c600ef1798ae973 | Hex Buffer: 4c00160800fb2a7ccb2bd80f | Primer Entero: 135659596 
130 dev Id: 3fca66f5a25e6d6378f9163c03197716 | Hex Buffer: 4c00160800d9f2bf52358f0c | Primer Entero: 135659596 
133 dev Id: ac88100b24ff901212c1ecd2a3abf84a | Hex Buffer: 4c001608009f85c8ab74e419 | Primer Entero: 135659596 
132 dev Id: 4059b16b0efcfc29b1538297dd5277ad | Hex Buffer: 0600010f202258564b7d7a85ec7cd93addb20ed5bce3b894f44e5a6b9d | Primer Entero: 251723782 
131 dev Id: 1aee3448e30cb78771608b7968c381c3 | Hex Buffer: 4c001005411c10fbb1 | Primer Entero: 84934732 
134 dev Id: ad55c1a89f467ba00e7bb24f24b0f2c5 | Hex Buffer: undefined | Primer Entero: undefined 
135 dev Id: be7a9336f0486ff41b6d2b23f7d629a9 | Hex Buffer: 4c00160800210e55709d8877 | Primer Entero: 135659596 
136 dev Id: 4b0acbdd51acdc85d8e8e57a848766d9 | Hex Buffer: 4c001005371cabea52 | Primer Entero: 84934732 
139 dev Id: 5567bd32ea7061a1cd4e826993d5dbec | Hex Buffer: 4c001608004c9fcf89b7af97 | Primer Entero: 135659596 
137 dev Id: aee19cf393849ee95be52d2a9fa4ecab | Hex Buffer: 4c00160800da2a7de87b0473 | Primer Entero: 135659596 
138 dev Id: 9fe2b4ce2ec324b44a8265ca73553982 | Hex Buffer: 0600010920220d48f82d3b16a2e2d3c1412698a87da54a4dc12dfba7b0 | Primer Entero: 151060486 
140 dev Id: c9a776e215c664290b6edf3fee5591da | Hex Buffer: 4c001006431ddb90ee68 | Primer Entero: 101711948 
141 dev Id: 1484de53fc843eed9ab27192c64d2e65 | Hex Buffer: 4c0010073f1f2977999758 | Primer Entero: 118489164 
142 dev Id: 3510b28390089f9ec1c7780e18bbb91c | Hex Buffer: 7500420401206621050002013201010001000000000000000000 | Primer Entero: 71434357 
143 dev Id: a0ce815bb6d2c8ae2f3717b41be6b873 | Hex Buffer: 4c001006491d95dcba48 | Primer Entero: 101711948 
